Aasu,Afao,Afono,Agugulu,Alao,Alega,Alofau,Amaluia,Amanave,Amaua,Amouli,Anua,Aoa,Aoloau,Asili,Atuu,Aua,Auasi,Aumi,Aunuu,Auto,Avaio,Fagaalu,Fagaitua,Fagalii,Fagamalo,Faganeanea,Fagasa,Fagatogo,Failolo,Faleniu,Fatumafuti,Futiga,Iliili,Laulii,Leloaloa,Leone,Malaeimi,Malaeloa/Aitulagi,Malaeloa/Ituau,Maloata,Mapusagafou,Masausi,Masefau,Matuu,Mesepa,Nua,Nuuuli,Onenoa,Pagai,Pago,Pavaiai,Poloa,Sailele,Seetaga,Tafuna,Taputimu,Tula,Utulei,Utumea East,Utumea West,Vailoatai,Vaitogi,Vatia
Faleniu,3.772,6.358,12.365,8.444,20.172,12.544,16.179,5.339,9.491,14.198,18.226,7.875,18.194,3.743,5.76,8.496,10.802,10.802,11.076,20.954,13.663,13.064,7.479,15.249,9.448,7.902,6.299,5.215,7.585,9.168,0,7.725,2.929,1.618,10.526,9.706,4.333,1.138,2.895,2.933,8.228,1.695,16.7,14.382,6.988,0.667,6.947,3.664,19.227,16.008,7.227,1.344,9.831,17.455,7.548,1.696,4.685,20.7,8.065,19.734,7.805,4.997,2.722,11.229
Fatumafuti,8.653,13.793,4.976,15.795,12.507,4.822,8.505,12.875,16.692,6.473,10.587,3.752,10.494,10.336,13.212,3.127,3.472,3.472,3.38,13.525,5.941,5.356,1.02,7.524,16.253,14.165,1.429,4.43,2.442,16.471,7.725,0,10.441,8.314,2.81,3.176,12.004,7.151,10.613,10.632,14.79,9.079,8.975,6.808,0.746,8.146,14.293,4.084,11.503,8.294,3.482,9.042,16.882,9.729,14.806,6.532,12.25,12.987,1.737,12.118,15.126,12.701,9.151,5.256
Futiga,5.664,4.968,15.211,6.957,22.722,15.215,18.759,3.901,8.137,16.876,20.76,10.802,20.796,4.37,4.437,11.419,13.645,13.645,13.721,23.318,16.33,15.707,10.301,17.925,8.562,7.723,9.036,8.127,10.496,7.697,2.929,10.441,0,2.214,13.197,12.605,2.668,3.954,1.535,0.859,7.726,2.734,19.388,17.191,9.724,2.873,5.634,6.482,21.887,18.647,10.156,1.651,8.639,20.131,6.3,3.928,1.81,23.317,10.935,22.239,6.43,2.426,1.984,14.157
Iliili,5.341,6.765,13.164,8.839,20.519,13.05,16.564,5.687,9.972,14.711,18.556,9.067,18.605,4.929,6.184,9.566,11.601,11.601,11.55,21.104,14.162,13.532,8.254,15.758,10.168,8.912,6.933,6.527,8.598,9.582,1.618,8.314,2.214,0,11.038,10.659,4.506,2.722,3.033,2.692,9.107,2.792,17.224,15.102,7.614,2.089,7.41,4.492,19.71,16.466,8.405,1.538,10.402,17.961,8.057,1.787,3.989,21.128,8.944,20.031,8.252,4.625,1.138,12.333
Laulii,11.331,16.594,3.018,18.586,9.705,2.02,5.703,15.683,19.464,3.68,7.796,5.313,7.685,13.1,16.015,4.288,2.171,2.171,0.6,10.825,3.139,2.546,3.346,4.73,18.978,16.836,4.238,6.925,4.254,19.255,10.526,2.81,13.197,11.038,0,3.262,14.813,9.96,13.416,13.42,17.494,11.889,6.191,4.335,3.556,10.955,17.086,6.893,8.703,5.485,5.373,11.834,19.635,6.937,17.59,9.272,15.004,10.178,3.318,9.334,17.915,15.488,11.812,4.899
Leloaloa,9.425,15.142,2.891,16.995,11.765,4.403,7.958,14.359,17.736,5.662,10.037,2.515,9.667,11.456,14.602,1.452,1.581,1.581,3.725,13.349,5.291,4.994,2.599,6.586,17.039,14.761,4.032,4.955,2.139,17.605,9.706,3.176,12.605,10.659,3.262,0,13.688,8.858,12.448,12.619,15.506,10.721,7.842,5.011,3.516,9.961,15.546,6.167,10.364,7.484,2.89,11.046,17.806,8.609,15.967,8.899,14.387,11.958,1.759,11.567,16.324,14.654,11.638,2.082
Leone,5.103,2.307,16.465,4.344,24.488,16.825,20.49,1.233,5.501,18.471,22.547,11.563,22.495,3.055,1.769,12.361,14.919,14.919,15.374,25.286,17.943,17.358,11.665,19.52,5.898,5.266,10.576,8.835,11.551,5.088,4.333,12.004,2.668,4.506,14.813,13.688,0,4.886,1.495,1.881,5.147,2.972,20.96,18.531,11.26,3.859,2.971,7.921,23.5,20.298,10.971,3.15,5.98,21.721,3.636,5.871,2.383,24.991,12.157,24.06,3.784,1.603,4.615,14.965
Malaeimi,2.913,6.661,11.595,8.7,19.657,11.963,15.655,5.725,9.667,13.601,17.729,6.893,17.644,3.5,6.074,7.585,10.043,10.043,10.531,20.568,13.079,12.506,6.779,14.648,9.44,7.668,5.729,4.187,6.72,9.399,1.138,7.151,3.954,2.722,9.96,8.858,4.886,0,3.59,3.8,8.108,1.93,16.083,13.651,6.405,1.118,7.191,3.085,18.627,15.438,6.26,2.305,9.934,16.846,7.742,2.148,5.635,20.13,7.283,19.254,8.039,5.803,3.846,10.278
Malaeloa/Aitulagi,4.519,3.732,15.176,5.807,23.066,15.433,19.073,2.653,6.94,17.085,21.119,10.431,21.088,2.922,3.155,11.165,13.62,13.62,13.969,23.824,16.553,15.957,10.326,18.136,7.2,6.213,9.184,7.701,10.31,6.549,2.895,10.613,1.535,3.033,13.416,12.448,1.495,3.59,0,0.696,6.263,1.816,19.584,17.219,9.873,2.498,4.38,6.537,22.115,18.9,9.814,1.659,7.381,20.341,5.032,4.383,2.345,23.592,10.864,22.626,5.219,2.235,3.283,13.831
Malaeloa/Ituau,5.089,4.186,15.297,6.218,23.022,15.441,19.04,3.108,7.381,17.098,21.067,10.692,21.067,3.603,3.636,11.376,13.734,13.734,13.961,23.705,16.559,15.95,10.411,18.149,7.743,6.864,9.21,7.977,10.489,6.961,2.933,10.632,0.859,2.692,13.42,12.619,1.881,3.8,0.696,0,6.875,2.241,19.606,17.314,9.901,2.682,4.849,6.592,22.123,18.895,10.06,1.594,7.859,20.356,5.512,4.234,1.868,23.58,10.994,22.562,5.665,2.069,2.737,14.078
